brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
OLYMPIKUS,Tênis Running Masculino Olympikus Diffuse 5 Preto,370,46,37,05,,
,Kit Tênis Esportivo It Shoes Masculino + Relógio Digital,119,90,113,90,4.4,(324)
FILA,Tênis Running Masculino Fila Float Maxxi 2 Pro Verde,1.111,16,111,,,
,Tenis Esporte Academia Corrida Caminhada Confortável Leve,69,90,6,79,4.5,(414)
,Tênis Bolsonaro Masculino Feminino Patriota Style Super Leve,199,90,33,32,4.6,(145)
TAYGRA,Taygra Original Para Dança Confortável  Preto - Envio 24hs ,179,90,170,90,4.8,(120)
OLYMPIKUS,Olympikus Casual Zex Sem gênero Adultos 43434168,199,92,189,92,4.8,(249)
DM DAMANDO,Kit 2 Pares Tênis De Academia Treino Original Lançamento Dm,149,90,37,48,4.0,(2)
OLYMPIKUS,Tênis Olympikus Corre Grafeno 2 Masculino,666,56,66,66,,
OLYMPIKUS,Tênis Masculino Running Dynamic Original Olympikus,345,75,34,58,,
,Tênis Masculino Academia Caminhada Corrida Training Bylbow,78,90,67,45,4.6,(3109)
OLYMPIKUS,Tênis Olympikus Challenger 5 Branco E Cinza - Masculino,299,99,263,99,5.0,(2)
MIZUNO,Mizuno Wave Zest Masculino Adultos,419,56,331,45,4.6,(67)
OLYMPIKUS,Tênis Masculino Esportivo Olympikus Soma Original,219,90,173,72,,
UNDER ARMOUR,Tênis Masculino E Feminino Tribase Reps Under Armour Novo,449,99,395,99,4.7,(15)
OLYMPIKUS,Olympikus Ultraleve 155G Masculino Adultos,214,90,30,70,4.7,(19)
,Tênis Bolsonaro : Liberdade Style Super Confortável ,169,90,33,98,4.8,(114)
,Tênis Esportivo On Shoes Masculino/feminino ,77,80,61,46,4.7,(4742)
,Tênis Ortopédico Caminhada Academia Corrida Crossfit Confort,78,90,74,95,,
MIZUNO,Tênis Running Masculino Mizuno Prophecy 13 Branco,2.223,41,1.756,65,,
FILA,Fila Running Progress Masculino Adultos,333,22,290,90,4.7,(178)
BOX200,Tênis Masculino Tamanho Especial Esporte Caminhada Box 200,89,90,76,41,4.5,(612)
DIX, Tênis Maculino Academia Promoção R-4200 - Kit 2 Pares,139,90,132,90,4.2,(574)
OLYMPIKUS,Olympikus Eros Masculino Adultos,167,90,33,58,4.8,(1300)
NEW BALANCE,Tênis New Balance Fresh Foam Arishi V4 Masculino,499,90,389,50,,
MIZUNO,Tênis Mizuno Masculino Wave Mirai 5 Esportivo Corrida,529,90,386,82,5.0,(4)
FILA,Fila Racer T2 Masculino Adultos,599,90,365,93,4.9,(97)
FILA,Tênis Fila Ride Unissex Original ,329,99,234,29,5.0,(1)
MIZUNO,Mizuno Wave Falcon 5 Masculino Adultos,431,80,410,21,4.9,(8)
OLYMPIKUS,Olympikus Aquarios Masculino Adultos,237,49,184,99,4.8,(1003)
OLYMPIKUS,Olympikus Poseidon Masculino Adultos,179,31,159,86,4.7,(591)
DM DAMANDO,Kit Tenis Confortavel Masculino P/academia Corrida + Relógio,78,90,74,95,4.6,(215)
WM,Tenis Masculino Feminino Olimp Exclusivo Pronta Entrega,199,99,97,99,4.3,(39)
MIZUNO,Tênis Mizuno Masculino Wave Legend 2 Esportivo Corrida,639,90,426,55,,
UNDER ARMOUR,Under Armour Dagger Masculino Adultos,399,99,346,99,4.6,(49)
OLYMPIKUS,Olympikus Voa 2 Masculino Adultos,299,99,207,99,4.8,(360)
FILA,Fila KR6 Masculino Adultos,599,90,357,20,4.7,(189)
OLYMPIKUS,Tênis Running Masculino Olympikus Evasense Dynamic,345,75,273,14,,
MIZUNO,Mizuno Wave Mirai 5 Masculino Adultos,379,90,300,12,4.5,(548)
ADIDAS,adidas Runfalcon 3.0 Masculino Adultos,461,05,309,20,4.7,(558)
,Tenis Masculino Academia Corrida Wave Force Promoção Barato,75,99,72,19,4.2,(366)
MIZUNO,Tênis Pro 8 Wave Preto Com Cinza Refletivo Confortavel,422,36,401,24,,
,Kit Tênis De Corrida Masculino Academia Leve + Relógio,99,90,9,71,4.4,(260)
ADIDAS,Tênis Ultimashow adidas,349,99,191,99,4.9,(14)
ADIDAS,adidas Runfalcon 3.0 Masculino Adultos,461,05,309,20,4.7,(558)
NB,Tênis Masculino New Balance 997s Sport Anatómico Macio ,209,99,195,29,4.9,(8)
MIZUNO,Mizuno Space 3 Masculino Adultos,199,17,33,,4.8,(1431)
MIZUNO,Tênis Mizuno Wave Zest Masculino,499,90,394,25,5.0,(3)
NEW BALANCE,New Balance 500 V2 Masculino Adultos,467,85,336,85,4.4,(27)
MIZUNO,Tenis Esportivo Exclusivo Atividade Fisica Leve Confortavel,149,90,14,57,4.6,(324)
BLACK FREE,Kit 2 Pares Tênis Black Free Evolution Masculino Promoção,219,90,31,41,4.5,(642)
MIZUNO,Tênis Mizuno Masculino Wave Mirai 5 Esportivo Corrida,529,90,386,82,5.0,(4)
